Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 2 vs Lakers,4:45.0,87.0,83.0,Kobe Bryant,Miss,,misses 2-pt jump shot from 19 ft
Game 2 vs Lakers,2:41.0,87.0,85.0,Kobe Bryant,Miss,,misses 2-pt jump shot from 20 ft
Game 2 vs Lakers,1:18.0,87.0,89.0,Kobe Bryant,Miss,,misses 3-pt jump shot from 25 ft
Game 2 vs Lakers,0:17.0,81.0,91.0,Kobe Bryant,Turnover,,Turnover by K. Bryant (lost ball; steal by S. Marion)
Game 3 vs Lakers,4:54.0,85.0,81.0,Dirk Nowitzki,Make,3PT,4:54.0	 	 	85-81	+3	D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Kidd)
Game 3 vs Lakers,4:43.0,85.0,81.0,Peja Stojakovic,Foul,,4:43.0	Personal foul by P. Stojaković (drawn by L. Odom)	 	85-81
Game 3 vs Lakers,4:33.0,87.0,81.0,Kobe Bryant,Make,,makes 2-pt jump shot from 18 ft
Game 3 vs Lakers,4:23.0,87.0,81.0,Dirk Nowitzki,Foul,,4:23.0	Offensive charge foul by D. Nowitzki (drawn by P. Gasol)	 	87-81
Game 3 vs Lakers,4:23.0,87.0,81.0,Dirk Nowitzki,Turnover,,4:23.0	 	 	87-81	 	Turnover by D. Nowitzki (offensive foul)
Game 3 vs Lakers,3:49.0,87.0,84.0,Peja Stojakovic,Make,3PT,3:49.0	 	 	87-84	+3	P. Stojaković makes 3-pt jump shot from 24 ft (assist by D. Nowitzki)
Game 3 vs Lakers,3:24.0,87.0,84.0,Kobe Bryant,Turnover,,Turnover by K. Bryant (bad pass; steal by T. Chandler)
Game 3 vs Lakers,3:23.0,87.0,85.0,Jason Kidd,Make,FT,3:23.0	 	 	87-85	+1	J. Kidd makes free throw 1 of 2
Game 3 vs Lakers,3:23.0,87.0,86.0,Jason Kidd,Make,FT,3:23.0	 	 	87-86	+1	J. Kidd makes free throw 2 of 2
Game 3 vs Lakers,2:57.0,87.0,86.0,Kobe Bryant,Miss,,misses 2-pt jump shot from 22 ft
Game 3 vs Lakers,2:40.0,87.0,87.0,Dirk Nowitzki,Make,FT,2:40.0	 	 	87-87	+1	D. Nowitzki makes free throw 1 of 2
Game 3 vs Lakers,2:40.0,87.0,88.0,Dirk Nowitzki,Make,FT,2:40.0	 	 	87-88	+1	D. Nowitzki makes free throw 2 of 2
Game 3 vs Lakers,2:01.0,89.0,91.0,Jason Terry,Make,3PT,2:01.0	 	 	89-91	+3	J. Terry makes 3-pt jump shot from 22 ft (assist by J. Kidd)
Game 3 vs Lakers,1:23.0,91.0,93.0,Dirk Nowitzki,Make,2PT,1:23.0	 	 	91-93	+2	D. Nowitzki makes 2-pt hook shot from 5 ft
Game 3 vs Lakers,0:40.9,91.0,93.0,Peja Stojakovic,Miss,2PT,0:40.9	 	 	91-93	 	P. Stojaković misses 2-pt jump shot from 16 ft
Game 3 vs Lakers,0:18.7,91.0,94.0,Jason Terry,Make,FT,0:18.7	 	 	91-94	+1	J. Terry makes free throw 1 of 2
Game 3 vs Lakers,0:18.7,91.0,95.0,Jason Terry,Make,FT,0:18.7	 	 	91-95	+1	J. Terry makes free throw 2 of 2
Game 3 vs Lakers,0:16.6,91.0,96.0,Jason Terry,Make,FT,0:16.6	 	 	91-96	+1	J. Terry makes free throw 1 of 2
Game 3 vs Lakers,0:16.6,91.0,97.0,Jason Terry,Make,FT,0:16.6	 	 	91-97	+1	J. Terry makes free throw 2 of 2
Game 3 vs Lakers,0:15.3,91.0,97.0,Kobe Bryant,Miss,,misses 3-pt jump shot from 23 ft (block by J. Kidd)
Game 3 vs Lakers,0:12.8,91.0,97.0,Kobe Bryant,Miss,,misses 3-pt jump shot from 28 ft
Game 3 vs Lakers,0:09.0,91.0,97.0,Tyson Chandler,Foul,,0:09.0	Shooting foul by T. Chandler (drawn by P. Gasol)	 	91-97
Game 3 vs Lakers,0:08.5,92.0,98.0,Jason Kidd,Make,FT,0:08.5	 	 	92-98	+1	J. Kidd makes free throw 1 of 2
Game 3 vs Lakers,0:08.5,92.0,98.0,Jason Kidd,Miss,FT,0:08.5	 	 	92-98	 	J. Kidd misses free throw 2 of 2
Game 3 vs Lakers,0:03.8,92.0,98.0,Kobe Bryant,Miss,,misses 3-pt jump shot from 25 ft
Game 4 vs Lakers,4:30.0,72.0,98.0,Kobe Bryant,Miss,,misses 3-pt jump shot from 25 ft
