--- SECTION 1: CLUTCH IDENTITY SUMMARY (FG and FT) ---
Player,FGM,FGA,FG%,FTM,FTA,FT%
Dirk Nowitzki,31,52,59.62,54,58,93.1
Jason Terry,10,34,29.41,16,16,100.0
Jason Kidd,6,15,40.0,13,16,81.25
Shawn Marion,7,10,70.0,7,8,87.5
Tyson Chandler,3,7,42.86,2,4,50.0
Peja Stojakovic,1,3,33.33,0,0,0.0
DeShawn Stevenson,0,2,0.0,2,2,100.0
J.J. Barea,1,1,100.0,2,4,50.0
Brendan Haywood,0,0,0.0,0,2,0.0


--- SECTION 2: FULL PLAY-BY-PLAY LOG WITH SPLIT SCORES ---
Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 4 vs Portland,4:15.0,77,68,Jason Terry,Miss,2PT,4:15.0	J. Terry misses 2-pt jump shot from 18 ft	 	77-68
Game 4 vs Portland,3:33.0,80,70,Jason Terry,Make,3PT,3:33.0	J. Terry makes 3-pt jump shot from 24 ft (assist by D. Nowitzki)	+3	80-70
Game 4 vs Portland,2:47.0,80,72,Jason Terry,Miss,2PT,2:47.0	J. Terry misses 2-pt jump shot from 17 ft	 	80-72
Game 4 vs Portland,2:16.0,80,74,Dirk Nowitzki,Foul,N/A,2:16.0	Offensive foul by D. Nowitzki (drawn by G. Wallace)	 	80-74
Game 4 vs Portland,2:16.0,80,74,Dirk Nowitzki,Turnover,N/A,2:16.0	Turnover by D. Nowitzki (offensive foul)	 	80-74
Game 4 vs Portland,1:52.0,80,76,Jason Kidd,Turnover,N/A,1:52.0	Turnover by J. Kidd (lost ball; steal by W. Matthews)	 	80-76
Game 4 vs Portland,1:48.0,80,76,Shawn Marion,Foul,N/A,1:48.0	 	 	80-76	 	Personal foul by S. Marion (drawn by B. Roy)
Game 4 vs Portland,1:19.0,82,78,Shawn Marion,Make,2PT,1:19.0	S. Marion makes 2-pt jump shot from 9 ft (assist by J. Kidd)	+2	82-78
Game 4 vs Portland,1:06.0,82,81,Shawn Marion,Foul,N/A,1:06.0	 	 	82-81	 	Shooting foul by S. Marion (drawn by B. Roy)
Game 4 vs Portland,0:50.9,82,82,Jason Terry,Miss,3PT,0:50.9	J. Terry misses 3-pt jump shot from 24 ft	 	82-82
Game 4 vs Portland,0:29.9,82,84,Jason Kidd,Miss,3PT,0:29.9	J. Kidd misses 3-pt jump shot from 26 ft	 	82-84
Game 4 vs Portland,0:00.3,82,84,Jason Terry,Miss,3PT,0:00.3	J. Terry misses 3-pt jump shot from 25 ft	 	82-84
Game 6 vs Portland,4:04.0,91,85,Jason Terry,Make,2PT,4:04.0	J. Terry makes 2-pt jump shot from 22 ft	+2	91-85
Game 6 vs Portland,3:25.0,91,85,Dirk Nowitzki,Foul,N/A,3:25.0	Offensive foul by D. Nowitzki (drawn by M. Camby)	 	91-85
Game 6 vs Portland,3:25.0,91,85,Dirk Nowitzki,Turnover,N/A,3:25.0	Turnover by D. Nowitzki (offensive foul)	 	91-85
Game 6 vs Portland,3:07.0,91,85,Shawn Marion,Foul,N/A,3:07.0	 	 	91-85	 	Shooting foul by S. Marion (drawn by G. Wallace)
Game 6 vs Portland,2:55.0,91,87,Jason Terry,Turnover,N/A,2:55.0	Turnover by J. Terry (back court)	 	91-87
Game 6 vs Portland,2:34.0,91,87,Dirk Nowitzki,Foul,N/A,2:34.0	 	 	91-87	 	Personal foul by D. Nowitzki (drawn by L. Aldridge)
Game 6 vs Portland,2:13.0,93,87,Shawn Marion,Make,2PT,2:13.0	S. Marion makes 2-pt hook shot from 5 ft	+2	93-87
Game 6 vs Portland,2:01.0,93,87,Shawn Marion,Foul,N/A,2:01.0	 	 	93-87	 	Personal foul by S. Marion (drawn by G. Wallace)
Game 6 vs Portland,1:42.0,95,89,Jason Terry,Make,2PT,1:42.0	J. Terry makes 2-pt jump shot from 14 ft	+2	95-89
Game 6 vs Portland,0:55.9,95,89,Jason Kidd,Miss,3PT,0:55.9	J. Kidd misses 3-pt jump shot from 25 ft	 	95-89
Game 6 vs Portland,0:46.2,95,89,Jason Terry,Turnover,N/A,0:46.2	Turnover by J. Terry (back court)	 	95-89
Game 6 vs Portland,0:30.3,96,89,Dirk Nowitzki,Make,FT,0:30.3	D. Nowitzki makes free throw 1 of 2	+1	96-89
Game 6 vs Portland,0:30.3,97,89,Dirk Nowitzki,Make,FT,0:30.3	D. Nowitzki makes free throw 2 of 2	+1	97-89
Game 6 vs Portland,0:24.9,98,92,Dirk Nowitzki,Make,FT,0:24.9	D. Nowitzki makes free throw 1 of 2	+1	98-92
Game 6 vs Portland,0:24.9,99,92,Dirk Nowitzki,Make,FT,0:24.9	D. Nowitzki makes free throw 2 of 2	+1	99-92
Game 6 vs Portland,0:16.6,100,94,Dirk Nowitzki,Make,FT,0:16.6	D. Nowitzki makes free throw 1 of 2	+1	100-94
Game 6 vs Portland,0:16.6,101,94,Dirk Nowitzki,Make,FT,0:16.6	D. Nowitzki makes free throw 2 of 2	+1	101-94
Game 6 vs Portland,0:09.8,102,96,Dirk Nowitzki,Make,FT,0:09.8	D. Nowitzki makes free throw 1 of 2	+1	102-96
Game 6 vs Portland,0:09.8,103,96,Dirk Nowitzki,Make,FT,0:09.8	D. Nowitzki makes free throw 2 of 2	+1	103-96
Game 1 vs Lakers,4:53.0,87,90,Dirk Nowitzki,Make,2PT,4:53.0	D. Nowitzki makes 2-pt jump shot from 13 ft	+2	87-90
Game 1 vs Lakers,4:17.0,87,90,Dirk Nowitzki,Miss,2PT,4:17.0	D. Nowitzki misses 2-pt jump shot from 11 ft	 	87-90
Game 1 vs Lakers,3:56.0,87,90,Jason Terry,Miss,2PT,3:56.0	J. Terry misses 2-pt jump shot from 16 ft	 	87-90
Game 1 vs Lakers,3:53.0,87,90,Dirk Nowitzki,Miss,2PT,3:53.0	D. Nowitzki misses 2-pt layup from 2 ft (block by L. Odom)	 	87-90
Game 1 vs Lakers,3:11.0,89,92,Tyson Chandler,Make,2PT,3:11.0	T. Chandler makes 2-pt dunk from 2 ft (assist by J. Kidd)	+2	89-92
Game 1 vs Lakers,2:24.0,89,92,Dirk Nowitzki,Miss,2PT,2:24.0	D. Nowitzki misses 2-pt jump shot from 11 ft	 	89-92
Game 1 vs Lakers,1:20.0,91,92,Shawn Marion,Make,2PT,1:20.0	S. Marion makes 2-pt jump shot from 6 ft (assist by J. Kidd)	+2	91-92
Game 1 vs Lakers,0:40.0,93,94,Dirk Nowitzki,Make,2PT,0:40.0	D. Nowitzki makes 2-pt jump shot from 9 ft	+2	93-94
Game 1 vs Lakers,0:19.5,94,94,Dirk Nowitzki,Make,FT,0:19.5	D. Nowitzki makes free throw 1 of 2	+1	94-94
Game 1 vs Lakers,0:19.5,95,94,Dirk Nowitzki,Make,FT,0:19.5	D. Nowitzki makes free throw 2 of 2	+1	95-94
Game 1 vs Lakers,0:08.8,95,94,Jason Kidd,Foul,N/A,0:08.8	 	 	95-94	 	Personal take foul by J. Kidd (drawn by K. Bryant)
Game 1 vs Lakers,0:03.1,95,94,Jason Kidd,Miss,FT,0:03.1	J. Kidd misses free throw 1 of 2	 	95-94
Game 1 vs Lakers,0:03.1,96,94,Jason Kidd,Make,FT,0:03.1	J. Kidd makes free throw 2 of 2	+1	96-94
Game 3 vs Lakers,4:54.0,85,81,Dirk Nowitzki,Make,3PT,4:54.0	 	 	85-81	+3	D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Kidd)
Game 3 vs Lakers,4:43.0,85,81,Peja Stojakovic,Foul,N/A,4:43.0	Personal foul by P. Stojaković (drawn by L. Odom)	 	85-81
Game 3 vs Lakers,4:23.0,87,81,Dirk Nowitzki,Foul,N/A,4:23.0	Offensive charge foul by D. Nowitzki (drawn by P. Gasol)	 	87-81
Game 3 vs Lakers,4:23.0,87,81,Dirk Nowitzki,Turnover,N/A,4:23.0	 	 	87-81	 	Turnover by D. Nowitzki (offensive foul)
Game 3 vs Lakers,3:49.0,87,84,Peja Stojakovic,Make,3PT,3:49.0	 	 	87-84	+3	P. Stojaković makes 3-pt jump shot from 24 ft (assist by D. Nowitzki)
